dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1022778999758884,0.0723545619409003,0.1083483679926248,"{""subsequence_multiplier"": 2}",,,,,,,0.9329217418786244,0.8703412228889763,0.8542713567839196,0.845771144278607,0.85,0.845771144278607,0.3973996659187749,170.0,10770.0,29.0,31.0,0.4941860465116279,0.8766169154228856,0.6320556050253843,1.0,0.845771144278607,0.9054317039744176,0.999565355042967,81,0.4941860465116279,0.8766169154228856,0.6320556050253843,,,,,,,,,,2.0,,,,,,,,,,,,,,
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0948335000139195,0.04945765461265,0.0596920306262802,"{""subsequence_multiplier"": 1}",,,,,,,0.8305361791837185,0.4147141144853332,0.6620689655172414,0.4776119402985074,0.5549132947976878,0.5373134328358209,0.2285337464914906,96.0,10750.0,49.0,105.0,0.5,0.582089552238806,0.5379310344827586,1.0,0.4776119402985074,0.7671962382445141,0.9972605156037994,81,0.5,0.582089552238806,0.5379310344827586,,,,,,,,,,1.0,,,,,,,,,,,,,,
004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600,4,BIDMC,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,81,1,11000,201,2500,5400,5600,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0973023000115063,0.1597988298177685,0.1529490720698793,"{""subsequence_multiplier"": 4}",,,,,,,0.993491658293402,0.5277687348476066,0.6109422492401215,1.0,0.7584905660377359,0.6467661691542289,0.6186460460274064,201.0,10671.0,128.0,0.0,0.6109422492401215,1.0,0.7584905660377358,1.0,1.0,0.9904675324675324,1.0,81,0.6109422492401215,1.0,0.7584905660377358,,,,,,,,,,4.0,,,,,,,,,,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0598348000203259,0.191366090832955,0.1144200635607348,"{""subsequence_multiplier"": 2}",,,,,,,0.9646785626986067,0.0050638642646077,0.0,0.0,0.0,0.0,0.5346262815151595,0.0,8020.0,162.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5726183580126233,0.999266862170088,24,0.0,0.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,0.060146200004965,0.1101085234797649,0.0891480681314908,"{""subsequence_multiplier"": 1}",,,,,,,0.9901613297482278,0.0179877593670697,0.0117647058823529,1.0,0.0232558139534883,0.0,0.3775527278742374,2.0,8014.0,168.0,0.0,0.0072463768115942,1.0,0.014388489208633,1.0,1.0,0.5852297883962969,1.0,24,0.0072463768115942,1.0,0.014388489208633,,,,,,,,,,1.0,,,,,,,,,,,,,,
005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392,5,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,24,1,8184,2,4000,5391,5392,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0590536000090651,0.3313205150264821,0.1698473578831702,"{""subsequence_multiplier"": 4}",,,,,,,0.8975800537765828,0.001755953144189,0.0,0.0,0.0,0.0,0.8408625886759927,0.0,8116.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6324942978168784,0.9936461388074292,24,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,,
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,6,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,24,1,8184,25,4000,5703,5727,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0618038999964483,0.1842233219918646,0.1180977203876887,"{""subsequence_multiplier"": 2}",,,,,,,0.9951783306777792,0.4472450079837046,0.1549295774647887,0.88,0.2634730538922156,0.56,0.5385164831549311,22.0,8039.0,120.0,3.0,0.0611111111111111,0.904,0.1144830762145982,1.0,0.88,0.6317152671650627,0.9999560117302052,24,0.0611111111111111,0.904,0.1144830762145982,,,,,,,,,,2.0,,,,,,,,,,,,,,
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,6,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,24,1,8184,25,4000,5703,5727,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0624033999920357,0.1192173084461478,0.1017069957551049,"{""subsequence_multiplier"": 1}",,,,,,,0.9627552396126976,0.0476028842733218,0.0523255813953488,0.36,0.0913705583756345,0.0,0.4243382957114627,9.0,7996.0,163.0,16.0,0.0769230769230769,0.344,0.1257309941520467,1.0,0.18,0.5500647178840165,0.9993548387096776,24,0.0769230769230769,0.344,0.1257309941520467,,,,,,,,,,1.0,,,,,,,,,,,,,,
006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727,6,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,24,1,8184,25,4000,5703,5727,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0964252999983728,0.2952449282369274,0.1593738379870726,"{""subsequence_multiplier"": 4}",,,,,,,0.9979997548719206,0.5331252599182323,0.3048780487804878,1.0,0.4672897196261682,0.32,0.7733664421981454,25.0,8102.0,57.0,0.0,0.0637755102040816,1.0,0.1199040767386091,1.0,1.0,0.8507736690270129,1.0,24,0.0637755102040816,1.0,0.1199040767386091,,,,,,,,,,4.0,,,,,,,,,,,,,,
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,7,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,24,1,8184,25,4000,6520,6544,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0624088000040501,0.1538367862378647,0.1032746776785824,"{""subsequence_multiplier"": 2}",,,,,,,0.9992548106385588,0.8313821240025291,0.1824817518248175,1.0,0.3086419753086419,0.64,0.4636608192736119,25.0,8047.0,112.0,0.0,0.0365497076023391,1.0,0.0705218617771509,1.0,1.0,0.7106000849084203,1.0,24,0.0365497076023391,1.0,0.0705218617771509,,,,,,,,,,2.0,,,,,,,,,,,,,,
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,7,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,24,1,8184,25,4000,6520,6544,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0684470999985933,0.1452467144404692,0.1077566969359227,"{""subsequence_multiplier"": 1}",,,,,,,0.9774580218163992,0.2206411742613087,0.0681818181818181,0.48,0.1194029850746268,0.2,0.4685168052482373,12.0,7995.0,164.0,13.0,0.0287081339712918,0.5840000000000001,0.0547260573499094,1.0,0.48,0.5838842280947303,0.9995259042033234,24,0.0287081339712918,0.5840000000000001,0.0547260573499094,,,,,,,,,,1.0,,,,,,,,,,,,,,
007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544,7,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,24,1,8184,25,4000,6520,6544,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0603508000203873,0.215281833271956,0.1276709478549423,"{""subsequence_multiplier"": 4}",,,,,,,0.9960877558524328,0.2679460203233461,0.2808988764044944,1.0,0.4385964912280701,0.04,0.598294676836783,25.0,8095.0,64.0,0.0,0.2808988764044944,1.0,0.4385964912280702,1.0,1.0,0.99485705185234,1.0,24,0.2808988764044944,1.0,0.4385964912280702,,,,,,,,,,4.0,,,,,,,,,,,,,,
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597,8,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,24,1,8184,49,4000,5549,5597,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1128129000135231,0.2082267258099892,0.1134544831650593,"{""subsequence_multiplier"": 2}",,,,,,,0.964231150358115,0.0836367398658639,0.06875,0.2244897959183673,0.1052631578947368,0.0,0.5485901753051671,11.0,7986.0,149.0,38.0,0.1111111111111111,0.2897959183673469,0.1606334841628959,1.0,0.1122448979591836,0.5667781647116324,0.9983741297105352,24,0.1111111111111111,0.2897959183673469,0.1606334841628959,,,,,,,,,,2.0,,,,,,,,,,,,,,
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597,8,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,24,1,8184,49,4000,5549,5597,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0610551999998278,0.1261258139064741,0.0943575740312954,"{""subsequence_multiplier"": 1}",,,,,,,0.9557844034971088,0.1608528136272153,0.1868686868686868,0.7551020408163265,0.2995951417004048,0.1836734693877551,0.4091985360003605,37.0,7974.0,161.0,12.0,0.0291568163908589,0.8040816326530613,0.0562731125848265,1.0,0.7551020408163265,0.6282219803114232,0.9996409120833084,24,0.0291568163908589,0.8040816326530613,0.0562731125848265,,,,,,,,,,1.0,,,,,,,,,,,,,,
008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597,8,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,24,1,8184,49,4000,5549,5597,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0587705000070855,0.351178341195023,0.180006707381668,"{""subsequence_multiplier"": 4}",,,,,,,0.8467418436335813,0.0181390560203459,0.0,0.0,0.0,0.0,0.8911984633400272,0.0,8083.0,52.0,49.0,0.0,0.0,0.0,0.0,0.0,0.6182090758703662,0.9470918866080156,24,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,,
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900,9,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,24,1,8184,49,4000,4852,4900,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0591115999850444,0.2040400211457911,0.1174286733966919,"{""subsequence_multiplier"": 2}",,,,,,,0.9948998406984182,0.6966972598575516,0.2606060606060606,0.8775510204081632,0.4018691588785046,0.673469387755102,0.556326041335867,43.0,8013.0,122.0,6.0,0.1043643263757115,0.5510204081632653,0.1754904277948475,1.0,0.4387755102040816,0.6807206967031014,0.9999551140104136,24,0.1043643263757115,0.5510204081632653,0.1754904277948475,,,,,,,,,,2.0,,,,,,,,,,,,,,
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900,9,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,24,1,8184,49,4000,4852,4900,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0589303000015206,0.0948518812435343,0.0825009842044602,"{""subsequence_multiplier"": 1}",,,,,,,0.9698305382386512,0.3351049661084086,0.1636363636363636,0.5510204081632653,0.2523364485981308,0.4081632653061224,0.342354833856915,27.0,7997.0,138.0,22.0,0.0821678321678321,0.4204081632653061,0.1374678763612614,1.0,0.2755102040816326,0.6601721022542137,0.9995274502762982,24,0.0821678321678321,0.4204081632653061,0.1374678763612614,,,,,,,,,,1.0,,,,,,,,,,,,,,
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900,9,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,24,1,8184,49,4000,4852,4900,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0602701999887358,0.278002440638738,0.1624569395432696,"{""subsequence_multiplier"": 4}",,,,,,,0.9924701779912948,0.702110722944643,0.3877551020408163,0.7755102040816326,0.5170068027210885,0.5918367346938775,0.7653732592685469,38.0,8075.0,60.0,11.0,0.1666666666666666,0.8204081632653062,0.2770503101309441,1.0,0.7755102040816326,0.7576730105531949,0.9996982664033356,24,0.1666666666666666,0.8204081632653062,0.2770503101309441,,,,,,,,,,4.0,,,,,,,,,,,,,,
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,10,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,24,1,8184,49,4000,6006,6054,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0607170000148471,0.1764433018053933,0.1150820123427589,"{""subsequence_multiplier"": 2}",,,,,,,0.9942751778031436,0.5735241428956017,0.3191489361702128,0.9183673469387756,0.4736842105263157,0.4489795918367347,0.5216893388336701,45.0,8039.0,96.0,4.0,0.1428571428571428,0.5673469387755102,0.2282430213464696,1.0,0.4591836734693877,0.748551489500357,0.9999900253356476,24,0.1428571428571428,0.5673469387755102,0.2282430213464696,,,,,,,,,,2.0,,,,,,,,,,,,,,
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,10,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,24,1,8184,49,4000,6006,6054,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0581718999892473,0.112629331510395,0.0932193995159317,"{""subsequence_multiplier"": 1}",,,,,,,0.971061048881753,0.4439482658501629,0.1666666666666666,0.5918367346938775,0.2600896860986547,0.5102040816326531,0.3922875300581902,29.0,7990.0,145.0,20.0,0.050448343079922,0.436734693877551,0.0904487225550206,1.0,0.2959183673469387,0.6551548578105865,0.9995012667823728,24,0.050448343079922,0.436734693877551,0.0904487225550206,,,,,,,,,,1.0,,,,,,,,,,,,,,
010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054,10,CIMIS44AirTemperature,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,24,1,8184,49,4000,6006,6054,zscore,sigma,3.0,range,datasets\normalized\zscore,0.0688703000196255,0.2169028610594241,0.1158201329829683,"{""subsequence_multiplier"": 4}",,,,,,,0.9998294093298044,0.9741413028258976,0.7205882352941176,1.0,0.8376068376068376,0.8775510204081632,0.5643632600083293,49.0,8116.0,19.0,0.0,0.2552083333333333,1.0,0.4066390041493776,1.0,1.0,0.9735926628716004,1.0,24,0.2552083333333333,1.0,0.4066390041493776,,,,,,,,,,4.0,,,,,,,,,,,,,,
011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100,11,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,91,1,30000,301,10000,11800,12100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.6270424000103958,0.0964818156361494,0.102936414797605,"{""subsequence_multiplier"": 2}",,,,,,,0.9924022856570112,0.7798955902031883,0.314002828854314,0.7375415282392026,0.4404761904761904,0.6976744186046512,0.4052910600289645,222.0,29214.0,485.0,79.0,0.0769230769230769,0.7900332225913622,0.1401957316354203,1.0,0.7375415282392026,0.605029702970297,0.9996078626799556,91,0.0769230769230769,0.7900332225913622,0.1401957316354203,,,,,,,,,,2.0,,,,,,,,,,,,,,
011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100,11,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,91,1,30000,301,10000,11800,12100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.6216566000366583,0.0474947582679861,0.0596275937545071,"{""subsequence_multiplier"": 1}",,,,,,,0.995969527705386,0.618438888853533,0.5490981963927856,0.9102990033222592,0.685,0.5282392026578073,0.2263775395315077,274.0,29474.0,225.0,27.0,0.1428571428571428,0.4427464008859357,0.2160146963475253,1.0,0.3034330011074196,0.7354215430861724,0.9999583056478404,91,0.1428571428571428,0.4427464008859357,0.2160146963475253,,,,,,,,,,1.0,,,,,,,,,,,,,,
011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100,11,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,91,1,30000,301,10000,11800,12100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.6227142999996431,0.1331521035088978,0.1530056581919978,"{""subsequence_multiplier"": 4}",,,,,,,0.9999897084804024,0.9990319062930594,0.4198047419804742,1.0,0.5913555992141454,0.9800664451827242,0.5921690780848912,301.0,29283.0,416.0,0.0,0.1567708333333333,1.0,0.2710490769923458,1.0,1.0,0.8789887494188748,1.0,91,0.1567708333333333,1.0,0.2710490769923458,,,,,,,,,,4.0,,,,,,,,,,,,,,
012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100,12,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,91,1,30000,101,15000,16000,16100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5737339000334032,0.1546174703824892,0.1207203871606135,"{""subsequence_multiplier"": 2}",,,,,,,0.9779763487569868,0.0688363132801259,0.0655270655270655,0.4554455445544554,0.1145703611457036,0.0,0.5167786318643299,46.0,29243.0,656.0,55.0,0.1559873949579831,0.2728712871287129,0.1985011987209116,1.0,0.0910891089108911,0.5908100664767332,0.9997889438943894,91,0.1559873949579831,0.2728712871287129,0.1985011987209116,,,,,,,,,,2.0,,,,,,,,,,,,,,
012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100,12,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,91,1,30000,101,15000,16000,16100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5780481999972835,0.0538296861009403,0.048029490377037,"{""subsequence_multiplier"": 1}",,,,,,,0.9890946384179874,0.1983966629364461,0.2027334851936218,0.8811881188118812,0.3296296296296296,0.0,0.1979181572320514,89.0,29549.0,350.0,12.0,0.0623333333333333,0.5524752475247525,0.1120271409169722,1.0,0.4405940594059406,0.642804555808656,0.9999663366336634,91,0.0623333333333333,0.5524752475247525,0.1120271409169722,,,,,,,,,,1.0,,,,,,,,,,,,,,
012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100,12,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,91,1,30000,101,15000,16000,16100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5725768000120297,0.1983972178881742,0.1689380527379319,"{""subsequence_multiplier"": 4}",,,,,,,0.8856046379245771,0.0143080083662243,0.0,0.0,0.0,0.0,0.70521137610197,0.0,29137.0,762.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6366689413823272,0.8402333333333334,91,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,,
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100,13,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,166,1,30000,101,15000,16000,16100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5360964999999851,0.1034323907507335,0.0965854472770508,"{""subsequence_multiplier"": 2}",,,,,,,0.998338299999437,0.620290390539121,0.3033033033033033,1.0,0.4654377880184331,0.5247524752475248,0.393188732581886,101.0,29667.0,232.0,0.0,0.3033033033033033,1.0,0.4654377880184331,1.0,1.0,0.9948804804804804,1.0,166,0.3033033033033033,1.0,0.4654377880184331,,,,,,,,,,2.0,,,,,,,,,,,,,,
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100,13,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,166,1,30000,101,15000,16000,16100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5154170999885537,0.0576503759106828,0.0679114609561941,"{""subsequence_multiplier"": 1}",,,,,,,0.999755612873572,0.8249867298874063,0.4975369458128079,1.0,0.6644736842105263,0.9108910891089108,0.2613847587792652,101.0,29797.0,102.0,0.0,0.4975369458128079,1.0,0.6644736842105263,1.0,1.0,0.9974489326765188,1.0,166,0.4975369458128079,1.0,0.6644736842105263,,,,,,,,,,1.0,,,,,,,,,,,,,,
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100,13,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,166,1,30000,101,15000,16000,16100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5351574999513105,0.1680975990549263,0.1299893500228193,"{""subsequence_multiplier"": 4}",,,,,,,0.9973481678747492,0.5642709141260995,0.1525679758308157,1.0,0.2647444298820445,0.5841584158415841,0.5580656491233844,101.0,29338.0,561.0,0.0,0.1525679758308157,1.0,0.2647444298820446,1.0,1.0,0.9891811681772406,1.0,166,0.1525679758308157,1.0,0.2647444298820446,,,,,,,,,,4.0,,,,,,,,,,,,,,
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100,14,ECG,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,166,1,30000,101,8000,17000,17100,zscore,sigma,3.0,range,datasets\normalized\zscore,0.5255973999737762,0.0924989940948426,0.0890517445505958,"{""subsequence_multiplier"": 2}",,,,,,,0.9992035893779686,0.8607689927991776,0.3033033033033033,1.0,0.4654377880184331,0.7425742574257426,0.3596542277466303,101.0,29667.0,232.0,0.0,0.3033033033033033,1.0,0.4654377880184331,1.0,1.0,0.9948636636636636,1.0,166,0.3033033033033033,1.0,0.4654377880184331,,,,,,,,,,2.0,,,,,,,,,,,,,,
